,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
63,0.0,1518.15,51.83,0.72,17.03,7.32,9.02,11.32,0.0,2.14,0.14,0.0,5.15,72.5,22.67,0.01,121.0
64,1.0,1673.0,76.1,0.11,13.0,0.78,0.07,0.57,0.0,4.0,4.68,0.0,63.53,0.0,36.47,0.0,323.0
65,1.0,1523.0,60.0,0.78,16.1,8.24,1.98,5.43,0.0,4.13,1.95,0.0,63.53,0.0,36.47,0.0,834.0
66,1.0,1523.0,58.9,0.8,15.6,7.9,1.92,5.54,0.0,3.97,1.97,4.4,63.53,0.0,36.47,0.0,776.0
67,0.0,1518.15,50.48,0.63,16.88,6.68,10.82,10.46,0.0,1.9,0.12,0.0,8.5,68.57,22.42,0.0,180.0
68,0.0,1518.15,51.94,0.69,17.13,7.9,10.54,10.44,0.0,1.46,0.11,0.0,26.5,44.64,28.86,0.0,477.0
69,1.0,1523.0,48.0,1.71,16.9,8.96,6.0,10.6,0.0,3.3,1.85,4.0,63.53,0.0,36.47,0.0,663.0
70,24.0,2433.15,51.94,0.21,4.11,7.7,32.21,1.29,0.0,0.05,0.0,0.0,63.79,0.73,32.65,2.46,514.22
71,0.0,1518.15,51.67,0.62,16.25,7.7,11.18,10.31,0.0,1.7,0.16,0.0,16.3,58.66,24.81,0.0,350.0
72,0.0,1673.15,66.5,0.0,14.2,4.2,4.2,10.1,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,921.0
73,0.0,1518.15,51.75,0.65,16.2,7.15,11.15,10.36,0.0,1.65,0.13,0.0,18.36,54.81,26.05,0.0,365.0
74,1.5,1673.15,62.91,0.64,12.25,2.74,8.63,10.38,0.0,1.3,0.12,0.0,5.55,70.04,24.35,0.06,292.67
75,1.0,1423.0,58.5,0.82,15.9,9.02,2.14,5.8,0.0,3.13,1.87,2.9,63.53,0.0,36.47,0.0,506.0
76,1.0,1683.0,40.83,0.63,8.8,25.23,10.25,8.73,0.0,0.54,0.13,0.0,62.48,0.76,30.28,3.84,5418.0
77,1.0,1683.0,37.39,0.85,11.19,17.82,14.1,14.63,0.0,0.38,0.07,0.0,61.96,0.25,29.34,4.67,4533.0
78,1.0,1773.0,37.97,10.87,9.41,18.25,8.71,11.94,0.36,0.34,0.05,0.0,63.98,0.0,33.22,2.78,5350.0
79,1.0,1783.0,42.35,4.9,6.7,18.44,15.22,8.32,0.0,0.45,0.13,0.0,60.31,0.0,31.07,4.43,4465.0
80,7.0,2073.15,45.77,0.02,3.63,24.16,9.9,10.28,0.0,1.26,0.0,0.0,63.12,0.66,33.94,2.12,4557.47
