0.00	1673.15	63.00	0.00	12.40	3.90	13.50	6.70	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1306.00
0.50	1673.15	52.00	2.13	17.68	8.40	7.30	10.18	0.00	1.34	0.97	0.00	63.53	0.00	36.47	0.00	1640.00
1.50	1673.15	51.80	2.50	17.70	8.60	7.30	9.94	0.00	1.22	0.90	0.00	63.53	0.00	36.47	0.00	1220.00
0.50	1673.15	50.42	1.80	16.92	9.95	7.06	9.66	0.00	2.45	0.79	0.00	63.53	0.00	36.47	0.00	1725.00
1.50	1673.15	47.62	1.76	17.88	10.17	6.73	9.52	0.00	2.71	0.85	0.00	63.53	0.00	36.47	0.00	1380.00
1.50	1773.15	51.34	1.57	17.62	9.80	7.44	9.29	0.00	2.93	0.80	0.00	63.53	0.00	36.47	0.00	1570.00
5.50	2073.15	50.20	1.60	17.21	10.22	7.40	10.11	0.00	1.90	0.90	0.00	63.53	0.00	36.47	0.00	1335.00
4.00	2073.15	48.88	0.71	10.54	11.57	16.31	9.76	0.00	1.71	0.39	0.00	63.53	0.00	36.47	0.00	1650.00
1.00	1703.00	59.30	0.82	15.90	8.24	1.96	5.58	0.00	4.07	1.96	0.00	63.50	0.33	34.30	1.77	1070.00
1.00	1673.00	60.50	0.79	16.20	7.94	1.97	5.57	0.00	4.21	2.01	0.00	63.53	0.00	36.47	0.00	1002.00
1.00	1623.00	59.90	0.75	16.20	8.43	2.02	5.70	0.00	4.17	1.96	0.00	63.20	0.21	35.10	0.87	1055.00
1.00	1623.00	48.20	1.65	16.90	9.81	6.32	10.80	0.00	3.34	1.82	0.00	62.30	0.67	35.00	1.36	1545.00
1.00	1573.00	47.90	1.68	16.60	9.48	6.33	10.90	0.00	3.29	1.83	0.00	62.30	0.24	34.90	2.27	1489.00
1.00	1523.00	48.50	1.65	16.70	9.24	6.31	10.80	0.00	3.36	1.85	0.00	62.70	0.41	34.80	2.51	1417.00
